1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	89095.947337	0.000000	0.000095	584.397639	70.1
1	92738.671309	0.000000	0.000095	1117.448992	2.6
2	92043.319302	0.968483	0.000091	1232.113813	2.6
3	91103.514022	0.104301	0.000094	963.529575	2.9
4	98662.256385	0.000000	0.000095	1786.539785	5.6
5	91214.256347	0.999999	0.000091	533.808819	3.3
6	97183.195939	0.078091	0.000094	1276.213423	3.2
7	92185.162142	0.000000	0.000095	890.335730	3.1
8	91286.054284	0.999863	0.000091	970.038834	3.2
9	90423.623449	0.079366	0.000094	1157.304680	3.5
10	96174.824345	0.000000	0.000095	1401.914770	3.4
11	91967.896710	0.999854	0.000091	982.899496	3.1
12	91520.462168	0.077523	0.000094	1063.566170	3.2
13	93555.128727	0.000000	0.000095	849.165379	3.2
14	92597.502311	0.000000	0.000095	1428.771809	2.9
15	93506.423584	0.000000	0.000095	567.991149	3.3
16	94550.668586	0.973035	0.000091	903.534630	3.2
17	87837.915213	0.133815	0.000094	1059.552489	2.9
18	92377.673126	0.000000	0.000095	1020.644297	3.1
19	94346.338948	0.000000	0.000095	3058.399323	4.5
20	92315.610094	0.000000	0.000095	1042.267553	3.1
21	91143.655458	0.000000	0.000095	816.535622	3.0
22	93861.318783	0.993035	0.000091	1323.818870	2.7
23	91420.728708	1.741946	0.000088	1408.173478	2.7
24	94525.424214	2.741946	0.000084	1135.344429	2.8
25	96637.555495	3.659407	0.000081	2302.082377	2.9
26	98715.279976	2.737037	0.000084	825.573587	2.7
27	93157.161582	3.736995	0.000080	3028.160394	3.4
28	93420.201273	4.736993	0.000077	1279.125155	3.7
29	90976.359926	5.736993	0.000074	1196.379078	3.2
30	93210.925535	6.155803	0.000073	841.832827	3.2
31	90078.449296	7.154776	0.000071	901.012996	2.7
32	94677.104218	6.232507	0.000073	1183.107989	2.9
33	93351.495000	7.232507	0.000071	1269.608847	2.7
34	91445.680485	8.232507	0.000068	763.059259	2.6
35	93577.261130	7.310456	0.000070	1243.378144	2.6
36	95108.728930	6.388087	0.000073	796.561762	3.0
37	113543.587171	5.607545	0.000075	836.704899	3.0
38	86287.257457	6.427406	0.000073	1420.650483	4.0
39	91657.755276	7.427406	0.000070	1086.631113	3.2
40	94808.590334	6.505150	0.000072	913.023017	2.9
